Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008
6037101110,14000US06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",ca,140,0,ACSSF,3870,,,,,6,37,,,,101110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3085,524,765,1101,411,180,50,54,16.99,24.8,35.69,13.32,5.83,1.62,1.75
6037101122,14000US06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",ca,140,0,ACSSF,3871,,,,,6,37,,,,101122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597,168,749,888,463,248,13,68,6.47,28.84,34.19,17.83,9.55,0.5,2.62
6037101210,14000US06037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",ca,140,0,ACSSF,3872,,,,,6,37,,,,101210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4107,762,1185,1340,548,174,36,62,18.55,28.85,32.63,13.34,4.24,0.88,1.51
6037101220,14000US06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",ca,140,0,ACSSF,3873,,,,,6,37,,,,101220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484,515,700,769,347,129,0,24,20.73,28.18,30.96,13.97,5.19,0,0.97
6037101300,14000US06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",ca,140,0,ACSSF,3874,,,,,6,37,,,,101300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3446,362,949,1145,604,278,82,26,10.5,27.54,33.23,17.53,8.07,2.38,0.75
6037101400,14000US06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",ca,140,0,ACSSF,3875,,,,,6,37,,,,101400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2771,258,510,1057,625,224,81,16,9.31,18.4,38.15,22.56,8.08,2.92,0.58
6037102103,14000US06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",ca,140,0,ACSSF,3876,,,,,6,37,,,,102103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370,95,348,389,398,87,0,53,6.93,25.4,28.39,29.05,6.35,0,3.87
6037102104,14000US06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",ca,140,0,ACSSF,3877,,,,,6,37,,,,102104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664,218,636,813,595,361,15,26,8.18,23.87,30.52,22.33,13.55,0.56,0.98
6037102105,14000US06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",ca,140,0,ACSSF,3878,,,,,6,37,,,,102105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291,276,357,401,224,27,0,6,21.38,27.65,31.06,17.35,2.09,0,0.46
6037102107,14000US06037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",ca,140,0,ACSSF,3879,,,,,6,37,,,,102107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290,306,726,1139,873,155,77,14,9.3,22.07,34.62,26.53,4.71,2.34,0.43
