Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
6037101110,14000US06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",ca,140,0,ACSSF,3870,,,,,6,37,,,,101110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596,110,97,70,76,123,96,54,78,88,64,126,277,91,93,109,44,6.89,6.08,4.39,4.76,7.71,6.02,3.38,4.89,5.51,4.01,7.89,17.36,5.7,5.83,6.83,2.76
6037101122,14000US06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",ca,140,0,ACSSF,3871,,,,,6,37,,,,101122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256,52,18,0,15,39,38,7,40,23,62,186,232,114,105,133,192,4.14,1.43,0,1.19,3.11,3.03,0.56,3.18,1.83,4.94,14.81,18.47,9.08,8.36,10.59,15.29
6037101210,14000US06037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",ca,140,0,ACSSF,3872,,,,,6,37,,,,101210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,285,140,335,69,223,145,61,95,220,128,147,225,96,67,14,71,12.28,6.03,14.43,2.97,9.61,6.25,2.63,4.09,9.48,5.51,6.33,9.69,4.14,2.89,0.6,3.06
6037101220,14000US06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",ca,140,0,ACSSF,3873,,,,,6,37,,,,101220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,65,104,160,56,22,133,60,118,123,53,75,88,110,45,43,39,5.02,8.04,12.36,4.33,1.7,10.28,4.64,9.12,9.51,4.1,5.8,6.8,8.5,3.48,3.32,3.01
6037101300,14000US06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",ca,140,0,ACSSF,3874,,,,,6,37,,,,101300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435,75,14,69,36,29,23,18,123,49,87,80,200,146,107,195,184,5.23,0.98,4.81,2.51,2.02,1.6,1.25,8.57,3.41,6.06,5.57,13.94,10.17,7.46,13.59,12.82
6037101400,14000US06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",ca,140,0,ACSSF,3875,,,,,6,37,,,,101400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473,20,82,68,146,86,47,14,47,27,88,134,156,166,136,179,77,1.36,5.57,4.62,9.91,5.84,3.19,0.95,3.19,1.83,5.97,9.1,10.59,11.27,9.23,12.15,5.23
6037102103,14000US06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",ca,140,0,ACSSF,3876,,,,,6,37,,,,102103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,20,22,30,8,20,35,37,16,18,51,83,118,107,48,47,36,2.87,3.16,4.31,1.15,2.87,5.03,5.32,2.3,2.59,7.33,11.93,16.95,15.37,6.9,6.75,5.17
6037102104,14000US06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",ca,140,0,ACSSF,3877,,,,,6,37,,,,102104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,84,31,7,72,0,15,250,46,0,58,116,144,233,51,48,115,6.61,2.44,0.55,5.67,0,1.18,19.69,3.62,0,4.57,9.13,11.34,18.35,4.02,3.78,9.06
6037102105,14000US06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",ca,140,0,ACSSF,3878,,,,,6,37,,,,102105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,10,20,19,46,36,30,34,0,43,80,31,113,40,18,10,33,1.78,3.55,3.37,8.17,6.39,5.33,6.04,0,7.64,14.21,5.51,20.07,7.1,3.2,1.78,5.86
6037102107,14000US06037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",ca,140,0,ACSSF,3879,,,,,6,37,,,,102107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,22,7,29,98,49,7,15,54,15,113,109,78,148,170,275,116,1.69,0.54,2.22,7.51,3.75,0.54,1.15,4.14,1.15,8.66,8.35,5.98,11.34,13.03,21.07,8.89
