Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06001400100","14000US06001400100","Census Tract 4001","Census Tract 4001, Alameda County, California","ca","140","00","ACSSF","0002699",,,,,"06","001",,,,"400100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,22,18,10,16,27,60,0,0,23,73,35,84,60,89,129,651,1.7,1.39,0.77,1.23,2.08,4.63,0,0,1.77,5.63,2.7,6.48,4.63,6.86,9.95,50.19
"06001400200","14000US06001400200","Census Tract 4002","Census Tract 4002, Alameda County, California","ca","140","00","ACSSF","0002700",,,,,"06","001",,,,"400200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,10,4,6,0,5,12,32,6,13,42,62,54,114,38,102,355,1.17,0.47,0.7,0,0.58,1.4,3.74,0.7,1.52,4.91,7.25,6.32,13.33,4.44,11.93,41.52
"06001400300","14000US06001400300","Census Tract 4003","Census Tract 4003, Alameda County, California","ca","140","00","ACSSF","0002701",,,,,"06","001",,,,"400300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441,60,118,53,77,43,132,0,87,95,97,177,332,93,82,389,606,2.46,4.83,2.17,3.15,1.76,5.41,0,3.56,3.89,3.97,7.25,13.6,3.81,3.36,15.94,24.83
"06001400400","14000US06001400400","Census Tract 4004","Census Tract 4004, Alameda County, California","ca","140","00","ACSSF","0002702",,,,,"06","001",,,,"400400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,62,60,63,73,54,63,40,10,34,26,95,224,153,183,218,392,3.54,3.43,3.6,4.17,3.09,3.6,2.29,0.57,1.94,1.49,5.43,12.8,8.74,10.46,12.46,22.4
"06001400500","14000US06001400500","Census Tract 4005","Census Tract 4005, Alameda County, California","ca","140","00","ACSSF","0002703",,,,,"06","001",,,,"400500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622,116,24,24,52,81,60,9,67,42,81,38,194,214,188,250,182,7.15,1.48,1.48,3.21,4.99,3.7,0.55,4.13,2.59,4.99,2.34,11.96,13.19,11.59,15.41,11.22
"06001400600","14000US06001400600","Census Tract 4006","Census Tract 4006, Alameda County, California","ca","140","00","ACSSF","0002704",,,,,"06","001",,,,"400600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,25,25,26,5,0,31,53,5,7,18,36,29,56,91,129,121,3.81,3.81,3.96,0.76,0,4.72,8.07,0.76,1.07,2.74,5.48,4.41,8.52,13.85,19.63,18.42
"06001400700","14000US06001400700","Census Tract 4007","Census Tract 4007, Alameda County, California","ca","140","00","ACSSF","0002705",,,,,"06","001",,,,"400700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,59,76,73,99,102,130,41,79,62,109,124,213,205,211,228,136,3.03,3.9,3.75,5.08,5.24,6.68,2.11,4.06,3.18,5.6,6.37,10.94,10.53,10.84,11.71,6.99
"06001400800","14000US06001400800","Census Tract 4008","Census Tract 4008, Alameda County, California","ca","140","00","ACSSF","0002706",,,,,"06","001",,,,"400800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626,90,160,25,20,47,159,89,23,21,72,216,147,167,95,97,198,5.54,9.84,1.54,1.23,2.89,9.78,5.47,1.41,1.29,4.43,13.28,9.04,10.27,5.84,5.97,12.18
"06001400900","14000US06001400900","Census Tract 4009","Census Tract 4009, Alameda County, California","ca","140","00","ACSSF","0002707",,,,,"06","001",,,,"400900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044,21,93,22,14,69,62,23,33,44,75,84,125,121,83,86,89,2.01,8.91,2.11,1.34,6.61,5.94,2.2,3.16,4.21,7.18,8.05,11.97,11.59,7.95,8.24,8.52
"06001401000","14000US06001401000","Census Tract 4010","Census Tract 4010, Alameda County, California","ca","140","00","ACSSF","0002708",,,,,"06","001",,,,"401000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439,228,109,123,74,142,63,15,111,0,143,219,345,381,157,151,178,9.35,4.47,5.04,3.03,5.82,2.58,0.62,4.55,0,5.86,8.98,14.15,15.62,6.44,6.19,7.3
