Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B10060_001,SE_B10060_002,SE_B10060_003,PCT_SE_B10060_002,PCT_SE_B10060_003
"06001400100","14000US06001400100","Census Tract 4001","Census Tract 4001, Alameda County, California","ca","140","00","ACSSF","0002699",,,,,"06","001",,,,"400100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158,820,338,70.81,29.19
"06001400200","14000US06001400200","Census Tract 4002","Census Tract 4002, Alameda County, California","ca","140","00","ACSSF","0002700",,,,,"06","001",,,,"400200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,430,102,80.83,19.17
"06001400300","14000US06001400300","Census Tract 4003","Census Tract 4003, Alameda County, California","ca","140","00","ACSSF","0002701",,,,,"06","001",,,,"400300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,883,174,83.54,16.46
"06001400400","14000US06001400400","Census Tract 4004","Census Tract 4004, Alameda County, California","ca","140","00","ACSSF","0002702",,,,,"06","001",,,,"400400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,503,150,77.03,22.97
"06001400500","14000US06001400500","Census Tract 4005","Census Tract 4005, Alameda County, California","ca","140","00","ACSSF","0002703",,,,,"06","001",,,,"400500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,360,245,59.5,40.5
"06001400600","14000US06001400600","Census Tract 4006","Census Tract 4006, Alameda County, California","ca","140","00","ACSSF","0002704",,,,,"06","001",,,,"400600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,186,97,65.72,34.28
"06001400700","14000US06001400700","Census Tract 4007","Census Tract 4007, Alameda County, California","ca","140","00","ACSSF","0002705",,,,,"06","001",,,,"400700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,304,466,39.48,60.52
"06001400800","14000US06001400800","Census Tract 4008","Census Tract 4008, Alameda County, California","ca","140","00","ACSSF","0002706",,,,,"06","001",,,,"400800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,399,201,66.5,33.5
"06001400900","14000US06001400900","Census Tract 4009","Census Tract 4009, Alameda County, California","ca","140","00","ACSSF","0002707",,,,,"06","001",,,,"400900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,193,112,63.28,36.72
"06001401000","14000US06001401000","Census Tract 4010","Census Tract 4010, Alameda County, California","ca","140","00","ACSSF","0002708",,,,,"06","001",,,,"401000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,434,415,51.12,48.88
